"GEOID","frp_z_h.ss","frp_z_h.m","frp_mm_h.ss","frp_mm_h.m","frp_d_h.ss","frp_d_h.m","frp_z_nh.ss","frp_z_nh.m","frp_mm_nh.ss","frp_mm_nh.m","frp_d_nh.ss","frp_d_nh.m","fri7_z_h.ss","fri9_z_h.ss","fri7_mm_h.ss","fri9_mm_h.ss","fri7_d_h.ss","fri9_d_h.ss","fri7_z_h.m","fri9_z_h.m","fri7_mm_h.m","fri9_mm_h.m","fri7_d_h.m","fri9_d_h.m","fri7_z_nh.ss","fri9_z_nh.ss","fri7_mm_nh.ss","fri9_mm_nh.ss","fri7_d_nh.ss","fri9_d_nh.ss","fri7_z_nh.m","fri9_z_nh.m","fri7_mm_nh.m","fri9_mm_nh.m","fri7_d_nh.m","fri9_d_nh.m","frp_base","fri7_base","fri9_base","fri9_counts","fri7_counts","is_urban","frp_range","fri_any","fri_any_z"
53005010201,0.810013717421125,0.686556927297668,0.645404663923182,0.671467764060357,0.302469135802469,0.400548696844993,0.735939643347051,0.582304526748971,0.464334705075446,0.436899862825789,0.332647462277092,0.373113854595336,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,5,1,0.507544581618656,1,1
53005010202,0.537722908093278,0.494513031550069,0.44718792866941,0.491083676268861,0.395747599451303,0.476680384087792,0.593964334705075,0.571330589849108,0.501371742112483,0.528120713305898,0.5,0.534293552812071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0.198216735253772,0,0
53005010300,0.950617283950617,0.923868312757202,0.910836762688615,0.923868312757202,0.666666666666667,0.705075445816187,0.905349794238683,0.844993141289438,0.756515775034294,0.757201646090535,0.615912208504801,0.6440329218107,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0.8,1,1,7,13,1,0.334705075445816,1,1
53005010400,0.936213991769547,0.907407407407407,0.873799725651577,0.890946502057613,0.728395061728395,0.768861454046639,0.927297668038409,0.91358024691358,0.832647462277092,0.840877914951989,0.785322359396433,0.805212620027435,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0.8,1,1,10,13,1,0.207818930041152,1,1
53005010500,0.825102880658436,0.830589849108368,0.831275720164609,0.842935528120713,0.770233196159122,0.774348422496571,0.745541838134431,0.742798353909465,0.694787379972565,0.714677640603567,0.720850480109739,0.735939643347051,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.9,1,1,5,13,1,0.205212620027435,1,1
53005010600,0.820987654320988,0.827846364883402,0.812757201646091,0.821673525377229,0.817558299039781,0.821673525377229,0.739368998628258,0.739368998628258,0.685185185185185,0.709190672153635,0.779835390946502,0.796296296296296,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0.9,1,1,7,13,1,0.214814814814815,1,1
53005010701,0.489026063100137,0.52400548696845,0.215363511659808,0.208504801097394,0.205761316872428,0.213305898491084,0.399862825788752,0.430041152263374,0.218792866941015,0.236625514403292,0.175582990397805,0.179698216735254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.348422496570645,0,0
53005010703,0.406035665294925,0.41358024691358,0.342935528120713,0.348422496570645,0.302469135802469,0.337448559670782,0.493827160493827,0.508916323731139,0.41358024691358,0.430041152263374,0.417695473251029,0.411522633744856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.20644718792867,0,0
53005010705,0.462962962962963,0.438271604938272,0.219478737997257,0.239368998628258,0.364883401920439,0.4519890260631,0.296982167352538,0.240054869684499,0.125514403292181,0.123456790123457,0.175582990397805,0.227709190672154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0.376543209876543,0,0
53005010707,0.0473251028806584,0.0308641975308642,0.0212620027434842,0.0226337448559671,0.0123456790123457,0.01440329218107,0.0596707818930041,0.037037037037037,0.0336076817558299,0.0308641975308642,0.0301783264746228,0.046639231824417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1,0.0876543209876543,0,0
53005010708,0.494513031550069,0.512345679012346,0.43758573388203,0.438271604938272,0.279149519890261,0.342249657064472,0.373113854595336,0.377229080932785,0.269547325102881,0.288751714677641,0.242798353909465,0.286008230452675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0.269547325102881,0,0
53005010803,0.289437585733882,0.253772290809328,0.222908093278464,0.243484224965706,0.251714677640604,0.349108367626886,0.237311385459534,0.191358024691358,0.211934156378601,0.211934156378601,0.242798353909465,0.290123456790123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,1,0.208641975308642,0,0
53005010805,0.240054869684499,0.179012345679012,0.142661179698217,0.152263374485597,0.229080932784636,0.264746227709191,0.270919067215364,0.213305898491084,0.243484224965706,0.234567901234568,0.294238683127572,0.339506172839506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1,0.196844993141289,0,0
53005010807,0.65843621399177,0.693415637860082,0.521947873799726,0.467764060356653,0.554183813443073,0.436899862825789,0.551440329218107,0.578189300411523,0.395061728395062,0.403292181069959,0.484910836762689,0.441700960219479,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,0,0,3,0,0.29835390946502,1,1
53005010809,0.441015089163237,0.41838134430727,0.305212620027435,0.321673525377229,0.476680384087792,0.551440329218107,0.452674897119342,0.453360768175583,0.411522633744856,0.434842249657064,0.513717421124829,0.544581618655693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0.246227709190672,0,0
53005010810,0.433470507544582,0.424554183813443,0.344307270233196,0.362139917695473,0.340877914951989,0.429355281207133,0.290809327846365,0.270919067215364,0.217421124828532,0.230452674897119,0.203703703703704,0.264060356652949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0.296296296296296,0,0
53005010811,0.127572016460905,0.103566529492455,0.0582990397805213,0.0596707818930041,0.051440329218107,0.0898491083676269,0.0761316872427984,0.0480109739368999,0.0397805212620027,0.0356652949245542,0.0315500685871056,0.0480109739368999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1,0.0960219478737994,0,0
53005010813,0.179698216735254,0.1440329218107,0.0740740740740741,0.0823045267489712,0.0877914951989026,0.13443072702332,0.204389574759945,0.181755829903978,0.11522633744856,0.121399176954733,0.13923182441701,0.188614540466392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,0.130315500685871,0,0
53005010814,0.280521262002743,0.290809327846365,0.157750342935528,0.15843621399177,0.113854595336077,0.152949245541838,0.241426611796982,0.239368998628258,0.12482853223594,0.131001371742112,0.0747599451303155,0.0960219478737997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.216049382716049,0,0
