"GEOID","frp_z_h.ss","frp_z_h.m","frp_mm_h.ss","frp_mm_h.m","frp_d_h.ss","frp_d_h.m","frp_z_nh.ss","frp_z_nh.m","frp_mm_nh.ss","frp_mm_nh.m","frp_d_nh.ss","frp_d_nh.m","fri_z_h.ss","fri_mm_h.ss","fri_d_h.ss","fri_z_h.m","fri_mm_h.m","fri_d_h.m","fri_z_nh.ss","fri_mm_nh.ss","fri_d_nh.ss","fri_z_nh.m","fri_mm_nh.m","fri_d_nh.m","frp_base","fri_base","frp_range","fri_counts","is_urban"
53003960400,0.911399548532731,0.903498871331828,0.963882618510158,0.961625282167043,0.862866817155756,0.851580135440181,0.945259593679458,0.937923250564334,0.954853273137698,0.951467268623025,0.953160270880361,0.948645598194131,1,1,1,1,1,1,1,1,1,1,1,1,0.945480225989,1,0.112302483069977,13,1
53003960500,0.558126410835214,0.646162528216704,0.599322799097065,0.651241534988713,0.625846501128668,0.685665914221219,0.690744920993228,0.742663656884876,0.762415349887133,0.778781038374718,0.744920993227991,0.790067720090293,0,0,0,0,1,1,1,1,1,1,1,1,0.783615819209,1,0.231941309255079,9,1
53003960600,0.307562076749436,0.371331828442438,0.382054176072235,0.417042889390519,0.542889390519187,0.586907449209932,0.431151241534989,0.450902934537246,0.45372460496614,0.484762979683973,0.668171557562077,0.708803611738149,0,0,0,0,0,0,0,0,1,0,0,1,0.472881355932,0,0.401241534988713,2,1
53005010100,0.691873589164786,0.776523702031603,0.783295711060948,0.808126410835214,0.170993227990971,0.307562076749436,0.782167042889391,0.83803611738149,0.868510158013544,0.875846501128668,0.295711060948081,0.411399548532731,1,1,0,1,1,0,1,1,0,1,1,0,0.397740112994,0,0.704853273137697,8,1
53005010201,0.269187358916479,0.36568848758465,0.2872460496614,0.332957110609481,0.292325056433409,0.463318284424379,0.351015801354402,0.428893905191874,0.408013544018059,0.450338600451467,0.367945823927765,0.493792325056433,0,0,0,0,0,0,0,0,0,0,0,0,0.298305084746,0,0.224604966139954,0,1
53005010203,0.802483069977427,0.853837471783296,0.863995485327314,0.883182844243792,0.625846501128668,0.733069977426637,0.877539503386005,0.923250564334086,0.948081264108352,0.950902934537246,0.801354401805869,0.841986455981941,1,1,0,1,1,1,1,1,1,1,1,1,0.677118644068,1,0.325056433408578,12,1
53005010204,0.453160270880361,0.536117381489842,0.474604966139955,0.530474040632054,0.656884875846501,0.682279909706546,0.59255079006772,0.633182844243792,0.618510158013544,0.644469525959368,0.778216704288939,0.802483069977427,0,0,1,0,0,1,0,0,1,0,0,1,0.660451977401,1,0.349322799097066,5,1
53005010300,0.316027088036117,0.443566591422122,0.363995485327314,0.422121896162528,0.292325056433409,0.463318284424379,0.446952595936795,0.528216704288939,0.524830699774266,0.566027088036117,0.327313769751693,0.444130925507901,0,0,0,0,0,0,0,0,0,0,0,0,0.39209039548,0,0.273702031602708,0,1
53005010400,0.890519187358916,0.924943566591422,0.944130925507901,0.954853273137698,0.822799097065463,0.855530474040632,0.927765237020316,0.940744920993228,0.948645598194131,0.953160270880361,0.880925507900677,0.909142212189616,1,1,1,1,1,1,1,1,1,1,1,1,0.871186440678,1,0.132054176072235,13,1
53005010500,0.897855530474041,0.908013544018059,0.927765237020316,0.925507900677201,0.918735891647856,0.941873589164786,0.867945823927765,0.871896162528217,0.883182844243792,0.886004514672686,0.844243792325056,0.868510158013544,1,1,1,1,1,1,1,1,1,1,1,1,0.883615819209,1,0.0976297968397301,13,1
53005010600,0.739277652370203,0.790632054176072,0.668735891647856,0.709367945823928,0.822799097065463,0.866252821670429,0.755079006772009,0.804740406320542,0.806997742663657,0.816027088036117,0.724040632054176,0.789503386004515,1,1,1,1,1,1,1,1,1,1,1,1,0.837288135593,1,0.197516930022573,13,1
53005010701,0.198081264108352,0.124717832957111,0.125846501128668,0.0919864559819413,0.226297968397291,0.193002257336343,0.25902934537246,0.192437923250564,0.0948081264108352,0.090293453724605,0.259593679458239,0.228555304740406,0,0,0,0,0,0,0,0,0,0,0,0,0.335028248588,0,0.244734794863395,0,0
53005010703,0.255643340857788,0.169864559819413,0.18961625282167,0.139954853273138,0.335778781038375,0.169864559819413,0.403498871331828,0.303611738148984,0.195823927765237,0.159706546275395,0.468961625282167,0.32392776523702,0,0,0,0,0,0,0,0,0,0,0,0,0.393785310734,0,0.329006772009029,0,0
